Ticket ID|Subject|Full_Ticket_Text|Issue Type|Assigned Team|Severity|Preprocessed_Text
1|Cannot connect to new printer|I am trying to print a large document on the new color laser printer, but my computer cannot see it. I've tried rebooting my workstation. Error message is 'Printer Not Found'. Please help as I need these printed by end of day.|Hardware|Desktop Support|Medium|cannot connect new printer trying print large document new color laser printer computer cannot see ive tried rebooting workstation error message printer found please help need printed end day
2|SQL Server performance degraded|The main production database is experiencing severe lag. Simple SELECT queries are taking over 30 seconds to return. This is affecting all customer-facing applications. Emergency attention required.|Database|Database Ops|Critical|sql server performance degraded main production database experiencing severe lag simple select queries taking seconds return affecting customerfacing applications emergency attention required
3|Forgot my HR Portal password|I need to submit my time-off request, but I cannot remember my password for the HR portal (Workday). The 'Forgot Password' link is not sending an email to my inbox.|Account/Access|Security & Access|Low|forgot hr portal password need submit timeoff request cannot remember password hr portal workday forgot password link sending email inbox
4|VPN disconnects on a schedule|My VPN connection drops exactly every 30 minutes, which interrupts my remote work sessions. This has been happening since yesterday afternoon. Please investigate the network configuration.|Network|Networking|High|vpn disconnects schedule vpn connection drops exactly every minutes interrupts remote work sessions happening since yesterday afternoon please investigate network configuration
5|Excel crashing on save|When I try to save any Excel file, regardless of size, the application freezes and crashes. I have the latest version of Microsoft Office installed. I lost a few hours of work today because of this.|Software|Application Support|Medium|excel crashing save try save excel file regardless size application freezes crashes latest version microsoft office installed lost hours work today
6|Monitor flickering constantly|The left monitor on my dual-screen setup flickers black every few minutes. I checked the cables and they seem secure. Can I get a replacement monitor or a technician to look at the port?|Hardware|Desktop Support|Low|monitor flickering constantly left monitor dualscreen setup flickers black every minutes checked cables seem secure get replacement monitor technician look port
7|Access denied to client folder|I am unable to access the 'Client_Alpha' shared drive. I had access last week, but now I get an 'Access Denied' error. I am a member of the 'Sales' group which requires this access.|Account/Access|Security & Access|Low|access denied client folder unable access clientalpha shared drive access last week get access denied error member sales group requires access
8|API response times too slow|Our internal microservice API calls are seeing response times upwards of 5 seconds. This is a critical production issue impacting service reliability. Check load balancer and server metrics.|Network|Networking|Critical|api response times slow internal microservice api calls seeing response times upwards seconds critical production issue impacting service reliability check load balancer server metrics
9|Corrupted table in backup|During a routine restore test, we discovered one table (`user_sessions`) in the latest backup is corrupted and cannot be read. Need to verify integrity of all other backups immediately.|Database|Database Ops|High|corrupted table backup routine restore test discovered one table usersessions latest backup corrupted cannot read need verify integrity backups immediately
10|Adobe Creative Cloud won't update|The Adobe Creative Cloud desktop app is stuck in a loop trying to apply an update. It keeps asking me to restart, but the problem persists. I cannot use any of the design software.|Software|Application Support|Medium|adobe creative cloud wont update adobe creative cloud desktop app stuck loop trying apply update keeps asking restart problem persists cannot use design software
11|Laptop power button loose|The power button on my Lenovo laptop is physically loose and sometimes doesn't register a press. I am concerned it might stop working entirely. Requesting a hardware replacement.|Hardware|Desktop Support|Low|laptop power button loose power button lenovo laptop physically loose sometimes doesnt register press concerned might stop working entirely requesting hardware replacement
12|New user onboarding access failure|New employee John Doe's account was created but he cannot log in to his email or any company application. User onboarding is blocked. Priority: High.|Account/Access|Security & Access|High|new user onboarding access failure new employee john account created cannot log email company application user onboarding blocked priority high
13|Intermittent internet drops on 5th floor|Several users on the 5th floor are reporting that their wired and wireless connections drop out randomly for 1-2 minutes every hour. This is disrupting calls.|Network|Networking|Medium|intermittent internet drops th floor several users th floor reporting wired wireless connections drop randomly minutes every hour disrupting calls
14|Slow query optimization needed|Query 'Get_Customer_Activity' runs extremely slowly due to inefficient join operations. Need a DBA to review the execution plan and add appropriate indices.|Database|Database Ops|Medium|slow query optimization needed query getcustomeractivity runs extremely slowly due inefficient join operations need dba review execution plan add appropriate indices
15|Teams app mic not working|My microphone is completely silent when using Microsoft Teams, even though it works perfectly fine with Zoom and local recordings. I've checked Teams settings.|Software|Application Support|Low|teams app mic working microphone completely silent using microsoft teams even though works perfectly fine zoom local recordings ive checked teams settings
16|External hard drive not recognized|My external USB hard drive is not showing up in File Explorer when I plug it into my docking station. I tried a different USB port with no change.|Hardware|Desktop Support|Low|external hard drive recognized external usb hard drive showing file explorer plug docking station tried different usb port change
17|Multi-factor authentication reset required|I got a new phone and need to migrate or reset my MFA settings for my corporate account. I am currently locked out of all services.|Account/Access|Security & Access|High|multifactor authentication reset required got new phone need migrate reset mfa settings corporate account currently locked services
18|Core router failure in Data Center A|The primary router in DC A has gone offline. All traffic for half of our customers is affected. This is a level 1 emergency.|Network|Networking|Critical|core router failure data center primary router dc gone offline traffic half customers affected level emergency
19|Replication lag across regional databases|Data replication between the East Coast and West Coast database clusters is lagging by several hours. This is impacting reporting accuracy for executives.|Database|Database Ops|Critical|replication lag across regional databases data replication east coast west coast database clusters lagging several hours impacting reporting accuracy executives
20|Word document formatting issues after conversion|I converted a PDF to a Word document, and all the tables and images are misaligned. Need assistance fixing the layout so it matches the original PDF.|Software|Application Support|Low|word document formatting issues conversion converted pdf word document tables images misaligned need assistance fixing layout matches original pdf
21|Keyboard sticky keys issue|Several keys (specifically 'E', 'R', and 'T') on my desktop keyboard are sticking when pressed. It's making typing difficult. Requesting a standard replacement keyboard.|Hardware|Desktop Support|Low|keyboard sticky keys issue several keys specifically e r desktop keyboard sticking pressed making typing difficult requesting standard replacement keyboard
22|Need permission to install Python package|I am developing a script and need to install the 'requests' Python package, but the command is blocked by administrative restrictions. Can this be approved or installed for me?|Account/Access|Security & Access|Low|need permission install python package developing script need install requests python package command blocked administrative restrictions approved installed
23|Website not loading in Chrome/Edge|Our company's public-facing website is completely inaccessible for me on all browsers. Other websites load fine. Could this be a local DNS caching issue?|Network|Networking|Medium|website loading chromeedge companys publicfacing website completely inaccessible browsers websites load fine could local dns caching issue
24|Rollback failed on deployment|The automatic rollback process failed after a problematic code deployment, leaving the production environment in an unstable state. Manual intervention is required now.|Database|Database Ops|High|rollback failed deployment automatic rollback process failed problematic code deployment leaving production environment unstable state manual intervention required
25|Outlook search is non-functional|The search bar within the Outlook desktop application (Exchange account) does not return any results, even for emails I know exist. I've tried rebuilding the index with no success.|Software|Application Support|Medium|outlook search nonfunctional search bar within outlook desktop application exchange account return results even emails know exist ive tried rebuilding index success
26|Docking station not charging laptop|My laptop is connected to the docking station, but the battery level is decreasing. The charging light on the dock is not on. I suspect a faulty power delivery issue with the dock.|Hardware|Desktop Support|Medium|docking station charging laptop laptop connected docking station battery level decreasing charging light dock suspect faulty power delivery issue dock
